% function evaluation | noise-free fitness - Fopt (-5.494000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.843172655e+007 +2.843172655e+007 +2.843167161e+007 +2.843167161e+007 +4.6684e-001 +2.8179e+000 +5.0405e+000 +7.7681e+000 -4.1516e+000 +4.4326e-001 -4.4643e+000 -1.1676e+000 -1.0142e+001 +2.8329e+000 -5.6363e+000 +6.9992e+000 -3.5781e+000 +5.5296e+000 -1.7417e+000 -1.0108e+001 -3.3835e+000 +1.4070e+000 -8.3645e-001 +2.9338e+000
2 +1.615405172e+007 +1.615405172e+007 +1.615399678e+007 +1.615399678e+007 +3.2562e+000 -1.2945e+000 +3.9867e+000 +3.0051e+000 -2.3331e+000 -1.2921e+000 -2.6452e+000 +6.9409e-001 -8.8163e-001 +3.9871e+000 -4.1594e+000 -2.6575e-001 +4.8543e+000 +4.0717e+000 +2.8149e-001 -4.0979e+000 -7.0761e+000 +1.3286e-001 +1.5065e+000 -4.4441e-001
4 +9.070254640e+006 +9.070254640e+006 +9.070199700e+006 +9.070199700e+006 +1.6022e+000 +1.7686e+000 +6.1364e+000 +2.7347e+000 -6.1402e+000 -3.0050e-001 -3.6483e+000 +1.2936e-001 -2.0117e+000 +1.2363e+001 -3.4855e+000 -3.1140e+000 +4.2669e+000 +1.2206e+000 +2.0903e-002 +6.3591e-002 +7.8069e-001 +2.7405e+000 -2.2773e+000 +7.8770e-001
41 +6.811124578e+006 +6.811124578e+006 +6.811069638e+006 +6.811069638e+006 -3.7942e-001 +4.6755e+000 +2.2543e+000 +1.0603e+000 -4.8387e+000 -4.8462e+000 -4.8624e+000 +2.7486e+000 -5.9034e+000 +4.6688e+000 -6.6711e+000 -2.9319e+000 +6.2442e+000 -7.1133e+000 -2.1379e+000 -2.0341e+000 -1.6201e+000 -4.7009e+000 -1.6686e+000 -8.5912e-001
66 +5.597407954e+006 +5.597407954e+006 +5.597353014e+006 +5.597353014e+006 -3.5731e+000 -3.3177e+000 +6.4595e-001 -6.0632e-002 -1.3144e+000 -5.6728e+000 +1.3277e+000 -1.1172e+001 -5.3333e+000 +6.0948e+000 +1.7395e+000 +5.6583e-001 -2.2230e+000 +3.8555e+000 -3.5925e+000 -1.9847e+000 -2.0179e+000 +1.5322e+000 -2.5017e-001 -1.0988e+000
106 +5.432161796e+006 +5.432161796e+006 +5.432106856e+006 +5.432106856e+006 +3.8293e+000 -3.8211e+000 -1.7393e+000 +2.7713e+000 -2.8454e+000 -3.1037e+000 -9.6757e-002 -1.6118e+000 -2.4004e+000 +6.8468e+000 -4.7654e+000 +5.8398e+000 +5.4176e+000 +3.6017e+000 -2.2406e-001 -3.3722e-001 -4.1570e-001 +2.3251e+000 -6.0689e+000 +2.4565e+000
115 +5.228717298e+006 +5.228717298e+006 +5.228662358e+006 +5.228662358e+006 -3.5495e-001 -2.7313e+000 +3.1411e+000 +1.8237e+000 -5.2971e+000 -2.0671e+000 -5.2830e+000 -1.5044e+000 -1.3016e+000 +5.1737e+000 -1.3122e+000 +4.0240e+000 +2.3104e+000 +2.5357e-001 -1.8906e+000 -4.7127e+000 -1.7786e+000 +3.7517e+000 +2.7023e+000 +2.2211e-001
124 +4.418879677e+006 +4.418879677e+006 +4.418824737e+006 +4.418824737e+006 +2.2878e+000 -2.6920e+000 +3.7104e+000 +3.2596e+000 -5.2714e+000 -3.4690e-001 -4.7036e+000 +5.0524e-001 -7.1906e+000 +8.0288e+000 -2.3754e+000 -3.3025e-001 +2.0938e+000 +2.6816e+000 -8.4344e-001 -8.9957e-001 -2.0747e+000 +1.7087e+000 +2.6663e+000 +1.5093e+000
127 +3.501449514e+006 +3.501449514e+006 +3.501394574e+006 +3.501394574e+006 -2.0334e-001 -3.5238e+000 +1.4425e+000 -5.5075e-001 -3.6451e+000 -3.7242e+000 -1.6686e+000 -3.0440e+000 -2.4126e+000 +6.0853e+000 +2.0524e+000 +5.2306e-001 +2.0362e+000 +1.6949e+000 +6.6052e+000 -4.7269e+000 -4.7170e+000 +4.1901e+000 +3.0591e+000 +9.5847e-001
262 +2.527405302e+006 +2.527405302e+006 +2.527350362e+006 +2.527350362e+006 -1.1036e+000 -2.2797e+000 -5.8731e-001 +2.4739e+000 -4.8917e+000 +3.5547e-001 -2.0387e+000 -2.9196e+000 -2.9365e+000 +8.3684e+000 -1.1626e+000 -1.0281e-001 +3.4387e+000 +9.8359e-002 -1.9928e+000 -2.9636e+000 -1.8549e+000 +3.2074e+000 +2.6698e+000 +1.3989e+000
368 +1.306264924e+006 +1.306264924e+006 +1.306209984e+006 +1.306209984e+006 -6.7322e-001 -2.0540e+000 -1.3858e+000 +2.2896e+000 -1.1922e+000 -4.4058e+000 -4.0247e+000 -6.1547e-001 -1.9183e+000 +8.9643e+000 -3.7017e+000 -2.7759e-002 +1.9089e+000 -1.1664e+000 -3.8785e-001 -2.2311e+000 -2.5928e+000 -1.5256e+000 +1.6335e+000 -4.6215e-001
636 +9.307900978e+005 +9.307900978e+005 +9.307351578e+005 +9.307351578e+005 -2.5815e+000 -2.8490e+000 -5.1609e-001 +4.8099e+000 -2.6579e+000 -4.9417e+000 -3.9714e+000 +3.4974e-001 -1.1098e+000 +6.9614e+000 -6.5146e-001 +2.4422e+000 +1.6545e+000 -1.6994e+000 -3.9314e+000 -8.6864e-001 +3.2927e-001 +4.7865e-002 +1.8334e+000 -1.6742e+000
1361 +7.821926850e+005 +7.821926850e+005 +7.821377450e+005 +7.821377450e+005 -1.0867e+000 -3.2551e+000 -3.8480e+000 +2.4845e+000 -1.7676e+000 -2.2138e+000 -5.4842e+000 -7.5792e-001 -3.0743e+000 +1.1449e+001 -2.8905e+000 +3.3905e+000 +6.1179e+000 +4.6519e-001 -8.4396e-001 -3.4199e+000 -1.2782e+000 -2.2396e+000 +7.5473e+000 -4.0973e-001
1397 +6.362517519e+005 +6.362517519e+005 +6.361968119e+005 +6.361968119e+005 -3.3700e+000 -2.3682e+000 -2.1962e+000 +3.0978e+000 -3.3193e+000 -2.3332e+000 -5.0441e+000 +2.2506e+000 -1.6180e+000 +4.8766e+000 +6.7189e-002 +2.8604e+000 +3.9411e+000 +2.5113e-001 +8.5849e-001 -6.0687e+000 -1.0236e-001 +1.3549e+000 +5.0808e+000 -1.5362e+000
1649 +5.539738122e+005 +5.539738122e+005 +5.539188722e+005 +5.539188722e+005 -2.7755e+000 -4.3034e+000 -5.2109e-001 +1.5346e+000 -1.0898e+000 -4.3103e+000 -1.4393e+000 +1.5202e-001 -2.0721e+000 +5.9155e+000 -9.1210e-001 +4.3318e+000 +2.2218e+000 -4.1890e-001 -4.0623e+000 -2.3383e+000 -1.9004e+000 -9.9925e-001 +4.6121e+000 -1.5436e+000
1838 +4.976028357e+005 +4.976028357e+005 +4.975478957e+005 +4.975478957e+005 -2.1788e+000 -2.4258e+000 -5.5437e+000 +6.2942e+000 -3.9110e+000 -2.9302e+000 -2.6195e+000 +1.6087e+000 -2.0271e+000 +7.7639e+000 -3.2840e+000 +4.2158e+000 +3.2000e+000 +1.7928e+000 +1.2671e+000 -3.0937e+000 +6.1562e-001 +8.0594e-001 +2.8566e+000 -2.3774e+000
2291 +3.929415979e+005 +3.929415979e+005 +3.928866579e+005 +3.928866579e+005 -2.1676e+000 -4.6450e+000 -3.3366e+000 +2.3179e+000 -2.3135e+000 -2.9494e+000 -2.0432e+000 +1.0945e+000 -2.7578e+000 +6.4041e+000 -6.5797e-001 +3.5827e+000 +1.9196e+000 -2.6786e-001 +3.3124e+000 -4.9759e+000 -2.1552e+000 +4.1145e-001 +3.2959e+000 +8.9583e-001
2357 +2.928589787e+005 +2.928589787e+005 +2.928040387e+005 +2.928040387e+005 -2.7978e+000 -5.2653e+000 -1.9044e+000 +2.9734e+000 -3.0600e+000 -1.4099e+000 -2.8933e+000 +9.5981e-001 -2.4175e+000 +5.5904e+000 +7.8133e-001 +3.1521e+000 +2.5628e+000 +2.5717e-001 +2.0389e+000 -3.1457e+000 -1.6374e+000 +7.9803e-001 +1.9591e+000 +3.3157e-001
2515 +2.749015008e+005 +2.749015008e+005 +2.748465608e+005 +2.748465608e+005 -3.3666e+000 -4.0657e+000 -2.8461e+000 +3.0767e+000 -2.2144e+000 -4.3670e+000 -2.4740e+000 -5.3920e-001 -1.9807e+000 +6.8528e+000 +5.0242e-001 +2.8955e+000 +1.2994e+000 -4.7770e-001 +2.4703e+000 -4.2672e+000 -8.8578e-001 +3.0606e-001 +3.0657e+000 -1.5360e-002
2714 +2.170763509e+005 +2.170763509e+005 +2.170214109e+005 +2.170214109e+005 -2.4062e+000 -4.3946e+000 -2.2462e+000 +3.6750e+000 -2.4063e+000 -4.6576e+000 -1.8761e+000 -1.4761e-001 -1.8771e+000 +7.9373e+000 -8.8731e-001 +2.5436e+000 +2.0907e+000 -1.2525e+000 +7.6228e-001 -3.9947e+000 -2.2407e+000 +4.1367e-001 +4.5018e+000 -7.6221e-001
3794 +1.159817960e+005 +1.159817960e+005 +1.159268560e+005 +1.159268560e+005 -1.1568e+000 -4.1659e+000 -2.4768e+000 +2.9143e+000 -3.0202e+000 -6.0462e+000 -2.4224e+000 +4.6680e-001 -2.9607e+000 +8.4467e+000 +1.4537e+000 +3.4133e+000 +1.5579e+000 -1.6670e+000 +1.6361e+000 -2.6937e+000 -1.6722e+000 +1.4553e+000 +4.3894e+000 -1.5511e+000
4808 +9.525810973e+004 +9.525810973e+004 +9.520316973e+004 +9.520316973e+004 -3.7325e+000 -4.0500e+000 -2.5590e+000 +2.9763e+000 -5.1605e+000 -8.7225e+000 -3.0091e+000 +2.7031e-001 -1.7934e+000 +8.8274e+000 +4.3408e+000 +2.7794e+000 +2.5655e+000 -3.9401e+000 +3.2920e+000 -3.4960e+000 -1.5189e-001 +3.0376e-001 +3.4606e+000 -1.4099e+000
5907 +8.717981070e+004 +8.717981070e+004 +8.712487070e+004 +8.712487070e+004 -2.2355e+000 -4.1205e+000 -2.1216e+000 +3.3430e+000 -4.3044e+000 -5.6834e+000 -3.5711e+000 +6.8503e-001 -3.5996e+000 +8.9114e+000 +3.4533e+000 +2.8336e+000 +1.3523e+000 -2.5287e+000 +3.1991e+000 -2.2740e+000 -6.1525e-001 +8.0914e-001 +3.9890e+000 -1.3638e+000
6051 +5.842177531e+004 +5.842177531e+004 +5.836683531e+004 +5.836683531e+004 -3.5142e+000 -3.9758e+000 -1.5057e+000 +3.1424e+000 -3.8566e+000 -3.1652e+000 -4.0886e+000 +2.6457e-001 -2.7434e+000 +7.9998e+000 +5.2793e+000 +2.7371e+000 +2.3761e+000 -3.6481e+000 +3.1466e+000 -4.1909e+000 -4.7257e-001 -1.3496e-001 +4.1017e+000 -7.8508e-001
6389 +4.880930537e+004 +4.880930537e+004 +4.875436537e+004 +4.875436537e+004 -2.6665e+000 -3.8682e+000 -1.9176e+000 +3.5308e+000 -3.8094e+000 -5.1690e+000 -3.2461e+000 +6.9159e-001 -3.0832e+000 +8.6862e+000 +4.4176e+000 +3.0222e+000 +1.9434e+000 -3.5236e+000 +2.9555e+000 -1.8498e+000 -8.8902e-002 +4.0793e-001 +3.9108e+000 -1.4924e+000
8356 +3.932320708e+004 +3.932320708e+004 +3.926826708e+004 +3.926826708e+004 -2.5160e+000 -4.1550e+000 -2.1444e+000 +2.7166e+000 -3.1863e+000 -5.6745e+000 -3.0498e+000 +5.8512e-001 -2.9312e+000 +8.6064e+000 +4.2018e+000 +2.8457e+000 +1.5412e+000 -3.5076e+000 +3.0472e+000 -2.0856e+000 -1.2997e-001 +3.8837e-001 +3.8545e+000 -6.8509e-001
9191 +3.857149615e+004 +3.857149615e+004 +3.851655615e+004 +3.851655615e+004 -2.9556e+000 -4.0001e+000 -1.7456e+000 +3.5782e+000 -3.6060e+000 -4.9097e+000 -3.0092e+000 +7.0504e-001 -3.1043e+000 +8.5123e+000 +4.1949e+000 +2.8629e+000 +2.1161e+000 -3.7894e+000 +3.2870e+000 -2.1846e+000 -2.1789e-001 -1.8332e-001 +3.6236e+000 -3.3859e-001
9968 +3.640858914e+004 +3.640858914e+004 +3.635364914e+004 +3.635364914e+004 -2.8533e+000 -4.0403e+000 -1.6985e+000 +3.0510e+000 -3.1902e+000 -4.6718e+000 -3.4604e+000 +1.3589e+000 -2.9527e+000 +8.1033e+000 +3.8157e+000 +2.8739e+000 +2.4103e+000 -3.6637e+000 +3.5760e+000 -2.4850e+000 -3.2594e-001 +3.0168e-001 +4.4923e+000 -4.9291e-001
10063 +3.627341908e+004 +3.627341908e+004 +3.621847908e+004 +3.621847908e+004 -2.8320e+000 -3.9863e+000 -1.6298e+000 +3.2393e+000 -3.6751e+000 -5.1890e+000 -3.0699e+000 +9.1706e-001 -3.0097e+000 +8.8822e+000 +4.0373e+000 +2.8833e+000 +2.1653e+000 -3.5951e+000 +3.7112e+000 -2.2285e+000 -4.1731e-001 +3.5447e-001 +4.1300e+000 -6.2154e-001
10096 +3.387194561e+004 +3.387194561e+004 +3.381700561e+004 +3.381700561e+004 -2.8241e+000 -4.1857e+000 -1.8124e+000 +3.4776e+000 -3.6105e+000 -4.7686e+000 -3.0399e+000 +8.7351e-001 -2.8004e+000 +8.4369e+000 +4.1087e+000 +2.8710e+000 +2.2251e+000 -3.6855e+000 +3.5508e+000 -2.0153e+000 -3.5287e-001 +4.2772e-001 +3.9342e+000 -3.3531e-001
10128 +3.077663154e+004 +3.077663154e+004 +3.072169154e+004 +3.072169154e+004 -2.6047e+000 -4.1556e+000 -1.6121e+000 +3.6373e+000 -3.5247e+000 -4.6748e+000 -2.9302e+000 +7.7238e-001 -3.3691e+000 +8.8608e+000 +4.1795e+000 +2.9155e+000 +2.0770e+000 -3.8739e+000 +3.6895e+000 -1.7931e+000 -4.0739e-001 +2.1878e-001 +4.0041e+000 -4.0704e-001
10225 +2.976731299e+004 +2.976731299e+004 +2.971237299e+004 +2.971237299e+004 -2.7335e+000 -4.0426e+000 -1.7167e+000 +3.3745e+000 -3.5574e+000 -4.7082e+000 -2.8395e+000 +8.5002e-001 -2.9389e+000 +8.5240e+000 +4.1097e+000 +2.7896e+000 +2.1532e+000 -3.8113e+000 +3.6004e+000 -2.0002e+000 -3.2757e-001 +4.1812e-001 +3.9665e+000 -4.1896e-001
11286 +2.722714193e+004 +2.722714193e+004 +2.717220193e+004 +2.717220193e+004 -2.8106e+000 -4.1539e+000 -1.7188e+000 +3.1164e+000 -3.0803e+000 -4.7393e+000 -2.7120e+000 +1.0567e+000 -3.0253e+000 +7.6908e+000 +4.2137e+000 +2.8525e+000 +2.1933e+000 -3.8484e+000 +3.5827e+000 -1.8362e+000 -4.9760e-001 +1.4844e-001 +3.9054e+000 -4.1447e-001
11979 +2.499543646e+004 +2.499543646e+004 +2.494049646e+004 +2.494049646e+004 -2.8521e+000 -4.1030e+000 -1.5842e+000 +3.4139e+000 -3.2759e+000 -4.8028e+000 -2.8389e+000 +1.0100e+000 -2.9643e+000 +8.4343e+000 +4.0888e+000 +2.8754e+000 +2.1188e+000 -3.8945e+000 +3.5120e+000 -1.9049e+000 -3.3437e-001 +1.8852e-001 +3.9613e+000 -3.9167e-001
12773 +2.287584956e+004 +2.287584956e+004 +2.282090956e+004 +2.282090956e+004 -2.8470e+000 -4.0867e+000 -1.4814e+000 +3.5066e+000 -3.0647e+000 -4.7177e+000 -2.7808e+000 +1.0234e+000 -3.2202e+000 +8.1712e+000 +4.0828e+000 +2.8794e+000 +2.0774e+000 -3.9916e+000 +3.5310e+000 -1.8736e+000 -3.7894e-001 +1.1882e-001 +4.3610e+000 -3.9477e-001
