% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.592411032e+003 +1.592411032e+003 +2.592411032e+003 +2.592411032e+003 -3.4343e-001 -2.2325e+000 +4.2282e+000 -1.3179e+000 +2.4078e+000 +3.4576e-001 +1.2961e+000 +6.5583e+000 -1.3510e+000 -1.8170e+000 -7.1424e-001 -3.8641e+000 +6.5629e+000 +2.2252e+000 -2.5363e+000 +2.5822e+000 -3.4853e+000 +2.8652e-001 +2.7461e+000 -2.5500e+000
9 +1.375489398e+003 +1.375489398e+003 +2.375489398e+003 +2.375489398e+003 -2.6709e+000 -3.5532e+000 +1.9633e+000 -3.6121e+000 -7.6238e-001 -5.2013e+000 +3.4727e-001 +5.1010e+000 +5.2523e-001 +2.0449e+000 -4.7617e+000 +1.3686e+000 +2.0521e+000 +3.1351e+000 +5.3060e-001 +2.7472e+000 -3.8212e-001 -1.1892e+000 -3.7791e+000 +4.4484e-002
53 +1.241944831e+003 +1.241944831e+003 +2.241944831e+003 +2.241944831e+003 +7.7287e-001 +2.3686e+000 +3.1136e+000 -1.4712e+000 -1.1889e+000 -5.0900e+000 +1.5412e+000 +2.9495e+000 +6.5846e-002 +3.3384e+000 -1.4849e+000 +2.4081e-001 +2.3908e+000 +1.7865e+000 -2.7639e+000 +5.8671e+000 -2.2251e+000 -4.5270e+000 -2.5117e+000 -4.3779e+000
66 +1.087765561e+003 +1.087765561e+003 +2.087765561e+003 +2.087765561e+003 +3.6250e+000 +6.3641e+000 +2.0859e+000 +5.0183e+000 +2.7396e+000 -2.0766e+000 +5.0637e+000 +1.9206e+000 -9.9770e-001 +3.2209e+000 -4.6646e+000 -6.9591e+000 +4.6062e+000 -1.4145e+000 +3.7595e+000 +5.3517e+000 -4.8042e+000 -6.0760e+000 -3.7570e+000 -1.6026e+000
118 +9.924600449e+002 +9.924600449e+002 +1.992460045e+003 +1.992460045e+003 -9.8362e-001 -2.1725e+000 +7.6222e-001 +3.4785e+000 -5.7082e-001 -2.8618e+000 +2.0573e+000 +4.2450e+000 -1.6802e+000 +2.6567e+000 -4.1339e+000 -2.2476e+000 +3.4093e+000 +3.1473e+000 -1.0617e+000 +2.1442e+000 +4.7793e+000 -1.3161e-001 -4.8604e+000 -3.5170e+000
216 +9.678752244e+002 +9.678752244e+002 +1.967875224e+003 +1.967875224e+003 +2.3633e+000 +5.5113e-001 +2.9749e+000 +4.2005e+000 +6.0124e+000 -2.4590e+000 -6.8293e-001 +3.7442e+000 +6.9338e+000 +2.3449e+000 -2.5528e+000 -8.2416e-003 +3.4536e+000 +4.0786e+000 +6.5489e+000 +6.6738e+000 -7.6269e-001 -9.9009e-001 +2.1061e+000 +8.1076e-001
220 +8.738729369e+002 +8.738729369e+002 +1.873872937e+003 +1.873872937e+003 -7.2157e-001 -1.1678e+000 +3.3054e+000 +1.6460e+000 +9.9709e-001 -2.3488e+000 +1.7738e+000 +5.9021e+000 -4.1923e+000 +6.5328e-001 -1.1445e-001 -9.8337e-001 -1.0872e+000 +4.0266e+000 -7.7431e-001 +6.3274e+000 -2.2365e+000 +2.4456e+000 -5.0449e+000 -2.1020e+000
232 +6.761138706e+002 +6.761138706e+002 +1.676113871e+003 +1.676113871e+003 -3.0506e-001 +2.9658e+000 +7.5539e-001 +3.3365e+000 +1.1010e+000 -3.0111e+000 +1.3654e+000 +5.3440e+000 -2.1467e-001 +9.2911e-001 -6.2964e-001 -3.0880e+000 -5.1819e+000 -4.0637e-001 -5.9656e-002 +6.2023e+000 -1.8287e+000 -1.2173e+000 -7.9343e-001 -1.8154e+000
409 +5.629075961e+002 +5.629075961e+002 +1.562907596e+003 +1.562907596e+003 -2.4857e-001 +1.2961e+000 +3.3155e+000 +4.6119e+000 +1.2575e+000 -3.3059e+000 -9.1296e-001 +5.1757e-001 +9.3461e-001 -1.0800e+000 -1.2930e+000 -6.2216e+000 -1.7336e+000 +9.1291e-001 -1.7881e-001 +5.0089e+000 +1.0901e+000 +1.6374e+000 -4.1190e+000 -2.7437e+000
507 +5.139470803e+002 +5.139470803e+002 +1.513947080e+003 +1.513947080e+003 -1.4121e-001 +9.5264e-001 +1.5722e+000 +1.5124e+000 +2.0154e+000 -3.1990e+000 +1.1644e+000 +2.1135e+000 +6.1058e-001 +1.5150e+000 -1.8785e+000 -3.2567e+000 -9.7011e-002 -3.8565e+000 +3.5082e-001 +5.2894e+000 +1.6943e+000 -2.5988e+000 -5.0378e+000 +7.8270e-001
